feature,coef
work iraqi ministry,-0.0691967666500819
speech,-0.06917749451368924
fighter,-0.06917444679500037
10,-0.06915187913253477
26 applicant,-0.06910508428916627
meet online,-0.06910288470654763
july 2018,-0.06897807915920333
2014 2016,-0.06886767645123333
empire,-0.0688411670444831
religion,-0.06880026593250838
kidnapping terrorist,-0.06871909829978093
cruel,-0.06864128535245394
couple,-0.06857448935401508
applicant explained,-0.06851976034096235
applicant admit sor,-0.06851604263817837
attack iraqi,-0.06837605223016043
iraq 2017,-0.06836118027234915
work security guard,-0.06833789236375921
state work,-0.06830761310008882
applicant travel,-0.06822018893708096
october 2014,-0.0682194501391865
mother weekly,-0.06818378307109563
increase,-0.06810403461145766
information,-0.06810187305134317
2002 applicant,-0.06802986423106389
47,-0.06794661978001537
communicate daily,-0.06792363954469854
sister weekly,-0.06789718930853086
application sca applicant,-0.06788820981587883
actor,-0.06788219382543072
high risk,-0.06780694344619675
corrupt,-0.06767415836391626
female,-0.0676689219952949
applicant indicate applicant,-0.06766035493149426
loyal unite,-0.06751049152137173
husband,-0.06746262240123392
item sor applicant,-0.06745314608495333
contacts,-0.0673481593745929
child support,-0.06731771475302387
tr 29,-0.06724160075687856
enter unite,-0.06720403335341539
online applicant,-0.06712646368252632
brother law citizen,-0.06707667392964181
contractor years applicant,-0.06704209637234967
return unite states,-0.06703215274847117
contact brother,-0.06696755580943303
torture,-0.06674476482137393
permanent residency status,-0.06667581031018352
travel egypt,-0.06659653815733348
maintain contact family,-0.06654168059306362
imprisonment,-0.06653451850047414
syria isis,-0.06648545360366614
iraq syria isis,-0.06648545360366614
largely,-0.06645294098185207
locations,-0.06645084785155529
insurgent group active,-0.06642605038817435
list foreign,-0.06635225526400311
treatment punishment,-0.06626019834816693
state pakistan,-0.06620419958772077
society,-0.06619981190965699
russian embassy,-0.06619252547125881
november 2016 applicant,-0.06614240182689071
christian,-0.06612982519549342
government contractor,-0.06607283719179184
numerous human,-0.06594392494444762
numerous human right,-0.06594392494444762
2018 answer,-0.06590992659020233
death applicant,-0.06573848841651365
credible,-0.06573555226959955
applicant mention,-0.06571830526788514
national assembly,-0.06571297741922369
2014 item,-0.0655600097156002
dni,-0.06547036963603754
ceo,-0.06546115560615731
degrade treatment,-0.0654238560065375
feel,-0.06538174008688619
marry second,-0.0653601544096272
applicant meet online,-0.06534717038894693
live item applicant,-0.0653310649985667
live item,-0.0653310649985667
include information department,-0.06524820935393223
condition country administrative,-0.06524820935393223
country administrative notice,-0.06524820935393223
information department state,-0.06524820935393223
include information,-0.06524820935393223
country administrative,-0.06524820935393223
50,-0.06523535784863581
islamic state,-0.06521888704662207
influence applicant admit,-0.0652111933423329
112,-0.0651813871988924
continue threat,-0.06517612760020335
foreign national applicant,-0.06512965054405782
afghan military,-0.06508113315891474
impose,-0.06507595694080157
earlier,-0.06504929561731515
exercise,-0.06498116427347486
mother mother,-0.06495810163446432
balance approximately,-0.0648414587884205
spouse dual,-0.06481549463933352
russian official,-0.06481261753500081
clearance eligibility,-0.06472341186974219
allege applicant friend,-0.06471643551260406
warn,-0.0646304620110978
contact cousin,-0.06453581964389907
sisters applicant,-0.06450029232075745
reliability discretion,-0.06446988035128991
resident prc,-0.06444203230281009
russia use,-0.06439637068168302
deny,-0.06439194883161829
degrade,-0.06436606378953882
regarde,-0.06431210812404183
16,-0.06429670663255274
state india,-0.06429260308921814
threat national security,-0.06425352646866878
credit card applicant,-0.06421932732719488
department travel advisory,-0.06412739565633309
shia,-0.06406281146087689
2024,-0.06397975448627098
update,-0.06393048707262038
applicant fail file,-0.06392366927850748
parent china,-0.06391497599128472
evidence applicant,-0.06368563986875357
taiwanese citizenship,-0.06352938534884367
applicant renew,-0.0634910940927508
brother age,-0.06347661989550137
2004 2008,-0.063458860075538
pla,-0.06342791969566665
applicant use marijuana,-0.06340865224327431
afghanistan brother,-0.06340078938418199
reside jordan,-0.06337756887811699
life threaten,-0.06336227357481883
provide support,-0.06335715034488096
